schema_issuer_did,creddef_author_did,schema_name,version,tag,rev_reg_def,rev_reg_entry,details
RGjWbW1eycP7FrMf4QJvX8,RGjWbW1eycP7FrMf4QJvX8,Person,1.0,Person,TRUE,TRUE,
E2h4RUJxyh48PLJ1CtGJrq,E2h4RUJxyh48PLJ1CtGJrq,BC VC Pilot Certificate,1.0.1,default,TRUE,TRUE,
A2UZSmrL9N5FDZGPu68wy,A2UZSmrL9N5FDZGPu68wy,bc-mines-act-permit,1.0,mds-prod-revok,TRUE,TRUE,
AcZpBDz3oxmKrpcuPcdKai,AcZpBDz3oxmKrpcuPcdKai,Digital Business Card,1.0.0,default,TRUE,TRUE,
A2UZSmrL9N5FDZGPu68wy,A2UZSmrL9N5FDZGPu68wy,bc-mines-act-permit,1.1.1,mds-prod-revok,TRUE,TRUE,
XqaRXJt4sXE6TRpfGpVbGw,XqaRXJt4sXE6TRpfGpVbGw,app_attestation,1.0,bcwallet,TRUE,TRUE,
4WW6792ksq62UroZyfd6nQ,4WW6792ksq62UroZyfd6nQ,LCRBSirSes,1.0.0,ServingItRight,TRUE,TRUE,
4WW6792ksq62UroZyfd6nQ,4WW6792ksq62UroZyfd6nQ,LCRBSirSes,1.0.0,SellingItRight,TRUE,TRUE,
4WW6792ksq62UroZyfd6nQ,4WW6792ksq62UroZyfd6nQ,LCRBSirSes,1.0.0,SpecialEventServer,TRUE,TRUE,
B8B9jho4L57A1f6MmXpAbu,EmX9iHJrL7R6MBLH38QYp,contractor-credential,1.0,*,True,True,Contractor Credential for CSB
